关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
600696,ETF最前线 | 嘉实富时中国A50ETF(512550)早盘下跌0.58%，白酒概念主题震荡，古越龙山上涨10.03%,截至早盘收盘，白酒概念主题涨跌幅最高的五只股票为：古越龙山(600059.SH)、岩石股份600696.SH)、天佑德酒,2025-05-27 11:56:29,南方财经网,http://finance.eastmoney.com/a/202505273415465745.html
600696,152只股短线走稳 站上五日均线,盛硅业5.270.8046.1047.573.19600696*ST岩石5.031.696.476.683.18002951金时科技2.253.2512.3312.713.05,2025-06-26 11:47:48,证券时报网,http://finance.eastmoney.com/a/202506263441084935.html
600696,ST板块概念上涨1.11%，14股主力资金净流入超千万元,2*ST金比1.876.12764.0012.09600696*ST岩石5.086.72763.365.80002168*ST惠程5.162.88727.0112.41600193*ST创兴4.940.53701.2986.30603843*ST正平4.828.05690.405.13000070ST特信1.281.37657.068.51600525ST长园2.253.27654.544.77002306*ST云网3.,2025-05-09 23:27:43,证券时报网,http://finance.eastmoney.com/a/202505093400940978.html
600696,12.77亿元主力资金今日抢筹食品饮料板块,00419天润乳业-1.903.34-948.60600696*ST岩石-2.855.50-944.12603345安井食品0.521.10-913.93002695煌上煌-1.281.38-829.76注：本文系新闻报道，,2025-05-14 16:36:46,证券时报网,http://finance.eastmoney.com/a/202505143404449421.html
600696,ETF最前线 | 华夏上证50ETF(510050)早盘下跌0.4%，白酒概念主题震荡，古越龙山上涨10.03%,截至早盘收盘，白酒概念主题涨跌幅最高的五只股票为：古越龙山(600059.SH)、岩石股份600696.SH)、天佑德酒,2025-05-27 11:56:30,南方财经网,http://finance.eastmoney.com/a/202505273415465985.html
600696,ETF最前线 | 万家上证50ETF(510680)早盘下跌0.5%，白酒概念主题震荡，古越龙山上涨10.03%,截至早盘收盘，白酒概念主题涨跌幅最高的五只股票为：古越龙山(600059.SH)、岩石股份600696.SH)、天佑德酒,2025-05-27 11:56:31,南方财经网,http://finance.eastmoney.com/a/202505273415466530.html
600696,岩石股份：公司股票将被实施退市风险警示 股票停牌,025年4月23日（星期三）起实施退市风险警示，股票简称变更为*ST岩石。,2025-04-21 18:49:53,南方财经网,http://finance.eastmoney.com/a/202504213383129398.html
600696,121只股短线走稳 站上五日均线,心家居4.011.5569.4671.773.33600696*ST岩石5.031.806.476.683.18注：本文系新闻报道，,2025-06-26 16:28:34,证券时报网,http://finance.eastmoney.com/a/202506263441269165.html
600696,岩石股份：公司股票将被实施退市风险警示 22日停牌一天,025年4月23日（星期三）起实施退市风险警示，股票简称变更为*ST岩石。,2025-04-21 21:12:21,上海证券报·中国证券网,http://finance.eastmoney.com/a/202504213383280138.html
600696,午间涨跌停股分析：59只涨停股、23只跌停股，ST宇顺12天11板，*ST鹏博连续8日跌停,连续5日跌停，*ST九有、ST华鹏等连续4日跌停，*ST传智、*ST岩石连续3日跌停，,2025-04-25 11:47:25,界面新闻,http://finance.eastmoney.com/a/202504253388586219.html
600696,ST板块概念涨3.05%，主力资金净流入这些股,4ST立方7.718.932563.4410.63600696*ST岩石4.954.532478.3825.89603398*ST沐邦5.006.882291.3314.81002052*ST同洲5.051.952243.1216.88300052ST中青宝7.207.842231.1610.87600228*ST返利4.996.152210.5221.88002253,2025-05-19 16:58:59,证券时报网,http://finance.eastmoney.com/a/202505193408365551.html
600696,中酒协：消费升级趋势将为黄酒带来广阔市场空间；*ST春天收警示函丨酒业早参,NO.3 *ST岩石：将申请不超过20亿元授信额度5月23日，*ST岩石2024年年度股东大会审议通过了《关于2025,2025-05-26 08:43:12,每日经济新闻,http://finance.eastmoney.com/a/202505263413895062.html
600696,今日51只个股涨停 主要集中在医药生物、国防军工等行业,棕榈股份、浪莎股份、三生国健、滨海能源、ST岭南、*ST苏吴、*ST岩石、*ST节能、,2025-05-22 15:42:15,证券时报网,http://finance.eastmoney.com/a/202505223411919748.html
600696,今日涨跌停股分析：99只涨停股、39只跌停股，*ST同洲12天9板，*ST交投7天6板,跌停股方面，*ST星光、*ST岩石连续6日跌停，*ST恒立连续5日跌停，*ST宝鹰连续4日跌停，*ST返利、天元股份等连续,2025-04-30 15:19:44,界面新闻,http://finance.eastmoney.com/a/202504303394458210.html
600696,600696，600243，000504，退市风险警示要来了！,4月21日晚间，岩石股份（600696）、青海华鼎（600243）发布年报，因2024年净利润为负值，且扣除与主业无关及不具备商业实质的收入后,2025-04-21 23:04:55,证券时报·e公司,http://finance.eastmoney.com/a/202504213383361433.html
600696,酒业迈入降本增效周期：三大啤酒企业去年减员超千人 白酒公司高管集体降薪,管人均报酬下降，分别是洋河股份、顺鑫农业、迎驾贡酒、金种子酒和*ST岩石，其中前四家降幅都只有低个位数。,2025-05-10 08:59:05,21世纪经济报道,http://finance.eastmoney.com/a/202505103401196137.html
600696,观酒周报｜新规要求党政机关公务接待不得供烟酒；茅台本轮回购已完成2/3；富邑集团换帅,上海贵酒副董事长陈琪辞任*ST岩石继续有管理层离开。5月14日，*ST岩石发布公告，,2025-05-19 08:46:47,21世纪经济报道,http://finance.eastmoney.com/a/202505193407609626.html
600696,食品饮料行业资金流出榜：贵州茅台、五粮液等净流出资金居前,002329皇氏集团1.104.471237.93600696*ST岩石5.013.561056.38600543莫高股份2.485.53991.626,2025-06-09 17:38:42,证券时报网,http://finance.eastmoney.com/a/202506093425536349.html
600696,午间涨跌停股分析：56股涨停、58股跌停，PEEK材料概念走强，中欣氟材6天4板,连续7日跌停，*ST九有、ST华鹏等连续6日跌停，*ST星光、*ST岩石连续,2025-04-29 11:48:51,界面新闻,http://finance.eastmoney.com/a/202504293392609110.html
600696,岩石股份600696.SH)4月23日起公司股票将被实施退市风险警示,2025年4月22日，岩石股份（600696.SH）发布公告，公司股票将被实施退市风险警示，实施起始日为2025年4月,2025-04-22 10:53:11,界面新闻,http://finance.eastmoney.com/a/202504223384123451.html
600696,今日涨跌停股分析：73只涨停股、57只跌停股，美容护理板块活跃，丸美生物涨停,连续7日跌停，*ST九有、ST华鹏等连续6日跌停，*ST星光、*ST岩石连续,2025-04-29 15:24:16,南方财经网,http://finance.eastmoney.com/a/202504293392782166.html
600696,白酒指数结束周线四连跌，洋河、舍得反弹乏力,数据显示，*ST岩石、舍得酒业、洋河股份、古井贡酒以及山西汾酒本周涨幅低于1%。,2025-05-11 17:16:22,每日经济新闻,http://finance.eastmoney.com/a/202505113401342023.html
600696,午间涨跌停股分析：63只涨停股、2只跌停股，乳业奶粉概念活跃，均瑶健康2连板,岭南、*ST赛隆7连板，中超控股8天6板，*ST节能7天6板，*ST岩石7天5板，,2025-05-27 11:51:10,界面新闻,http://finance.eastmoney.com/a/202505273415464298.html
600696,公告精选丨中贝通信：签订4.41亿元算力服务合同；平治信息：拟中标2.46亿元GPU算力建设项目,025年4月23日（星期三）起实施退市风险警示，股票简称变更为*ST岩石。,2025-04-21 21:15:30,21世纪经济报道,http://finance.eastmoney.com/a/202504213383284553.html
600696,今日涨跌停股分析：76只涨停股、34只跌停股，ST宇顺12天11板，*ST鹏博8连跌停,连续5日跌停，*ST九有、ST华鹏等连续4日跌停，*ST传智、*ST岩石连续3日跌停，,2025-04-25 15:19:06,界面新闻,http://finance.eastmoney.com/a/202504253388730623.html
600696,数据复盘丨银行、保险等行业走强 29股获主力资金净流入超亿元,棕榈股份、浪莎股份、三生国健、滨海能源、ST岭南、*ST苏吴、*ST岩石、*ST节能、,2025-05-22 17:52:14,证券时报网,http://finance.eastmoney.com/a/202505223412046146.html
600696,今日涨跌停股分析：99只涨停股、14只跌停股，*ST宇顺16天15板，*ST锦港、*ST苏吴连续6日跌停,ST艾艾等连续3日跌停，*ST声迅、*ST正平等连续2日跌停，*ST岩石跌停。,2025-05-07 15:28:59,界面新闻,http://finance.eastmoney.com/a/202505073398030331.html
600696,今日涨跌停股分析：95只涨停股、5只跌停股，农药概念活跃，美邦股份4天2板，诺普信2连板,岭南、*ST赛隆7连板，中超控股8天6板，*ST节能7天6板，*ST岩石7天5板，,2025-05-27 15:18:38,界面新闻,http://finance.eastmoney.com/a/202505273415578850.html
