,持仓金额,账面现金,基金申赎,总资产,份额确认,基金份额,基金净值
2019-11-12,440225.0,283902.81,0.0,724127.81,0.0,697882.9398022799,1.0376064074659221
2019-11-13,445392.5,283902.81,0.0,729295.31,0.0,697882.9398022799,1.0450109443950868
2019-11-14,410040.0,324570.61,0.0,734610.61,0.0,697882.9398022799,1.0526272646930237
2019-11-15,407972.5,324570.61,0.0,732543.11,0.0,697882.9398022799,1.0496647334688247
2019-11-18,408537.5,404570.61,80000.0,813108.11,76214.8116909903,774097.7514932703,1.0503946154493757
2019-11-19,415752.5,404570.61,0.0,820323.11,0.0,774097.7514932703,1.0597151437496866
2019-11-20,412955.0,404570.61,0.0,817525.61,0.0,774097.7514932703,1.0561012590760732
2019-11-21,411465.0,404570.61,0.0,816035.61,0.0,774097.7514932703,1.0541764375698413
2019-11-22,398195.0,404570.61,0.0,802765.61,0.0,774097.7514932703,1.0370338997257493
2019-11-25,391395.0,404570.61,0.0,795965.61,0.0,774097.7514932703,1.028249479428852
2019-11-26,390760.0,404570.61,0.0,795330.61,0.0,774097.7514932703,1.0274291695923035
2019-11-27,394985.0,404570.61,0.0,799555.61,0.0,774097.7514932703,1.032887136615008
2019-11-28,395450.0,404570.61,0.0,800020.61,0.0,774097.7514932703,1.0334878359441342
2019-11-29,390742.5,404570.61,0.0,795313.11,0.0,774097.7514932703,1.0274065626283042
2019-12-02,389862.5,404570.61,0.0,794433.11,0.0,774097.7514932703,1.0262697552957645
2019-12-03,422042.5,378396.24,0.0,800438.74,0.0,774097.7514932703,1.0340279873645373
2019-12-04,537012.5,265402.35,0.0,802414.85,0.0,774097.7514932703,1.0365807786576111
2019-12-05,545610.0,265402.35,0.0,811012.35,0.0,774097.7514932703,1.047687257113872
2019-12-06,555165.0,265402.35,0.0,820567.35,0.0,774097.7514932703,1.0600306594575268
2019-12-09,557777.5,265402.35,0.0,823179.85,0.0,774097.7514932703,1.0634055562260039
2019-12-10,670030.0,165792.47999999998,0.0,835822.48,0.0,774097.7514932703,1.0797376408698511
2019-12-11,666090.0,165792.47999999998,0.0,831882.48,0.0,774097.7514932703,1.0746478444037078
2019-12-12,681102.5,165792.47999999998,0.0,846894.98,0.0,774097.7514932703,1.09404138994888
2019-12-13,687710.0,166257.47999999998,0.0,853967.48,0.0,774097.7514932703,1.10317783297091
2019-12-16,697345.0,166257.47999999998,0.0,863602.48,0.0,774097.7514932703,1.1156245814357049
2019-12-17,862744.5000000001,3241.5899999999674,0.0,865986.0900000001,0.0,774097.7514932703,1.1187037920333356
2019-12-18,460329.3,479709.9099999999,80000.0,940039.21,71511.33353592505,845609.0850291953,1.111671133438147
2019-12-19,454426.2,479709.9099999999,0.0,934136.1099999999,0.0,845609.0850291953,1.104690248175075
2019-12-20,451321.6,567746.9999999999,87999.88,1019068.5999999999,79660.2306803866,925269.3157095818,1.1013751160855088
2019-12-23,174910.0,832246.6299999999,0.0,1007156.6299999999,0.0,925269.3157095818,1.0885010589891002
2019-12-24,177962.5,832246.6299999999,0.0,1010209.1299999999,0.0,925269.3157095818,1.0918000984667673
2019-12-25,258844.40000000002,752631.7499999999,0.0,1011476.1499999999,0.0,925269.3157095818,1.0931694511281904
2019-12-26,261333.3,752631.7499999999,0.0,1013965.0499999998,0.0,925269.3157095818,1.0958593706551243
2019-12-27,520586.1,485158.9299999999,0.0,1005745.0299999998,0.0,925269.3157095818,1.0869754491195915
2019-12-30,786562.9,232744.3599999999,0.0,1019307.2599999999,0.0,925269.3157095818,1.1016330517977904
2019-12-31,786705.8,232744.3599999999,0.0,1019450.1599999999,0.0,925269.3157095818,1.1017874933183012
2020-01-02,851053.3,181598.7199999999,0.0,1032652.02,0.0,925269.3157095818,1.116055620204013
2020-01-03,849545.6,181598.7199999999,0.0,1031144.3199999998,0.0,925269.3157095818,1.1144261486821523
2020-01-06,933378.8999999999,103948.22999999991,0.0,1037327.1299999998,0.0,925269.3157095818,1.1211083220721327
2020-01-07,941803.7,103948.22999999991,0.0,1045751.9299999998,0.0,925269.3157095818,1.1302135629538528
2020-01-08,923706.6999999998,103948.22999999991,0.0,1027654.9299999997,0.0,925269.3157095818,1.1106549331660254
2020-01-09,942815.3,103948.22999999991,0.0,1046763.5299999999,0.0,925269.3157095818,1.1313068662579016
2020-01-10,945930.2000000001,103948.22999999991,0.0,1049878.43,0.0,925269.3157095818,1.1346733455597804
2020-01-13,849024.9,277434.1699999999,60000.0,1126459.0699999998,52878.65466725983,978147.9703768416,1.1516244005148013
2020-01-14,934844.9000000001,185028.4599999999,0.0,1119873.36,0.0,978147.9703768416,1.144891564380139
2020-01-15,937693.3999999999,185028.4599999999,0.0,1122721.8599999999,0.0,978147.9703768416,1.1478037004641124
2020-01-16,1022773.3999999999,98790.0999999999,0.0,1121563.4999999998,0.0,978147.9703768416,1.1466194624601693
2020-01-17,1021507.4,98790.0999999999,0.0,1120297.5,0.0,978147.9703768416,1.1453251797561812
2020-01-20,1050073.4000000001,98790.0999999999,0.0,1148863.5,0.0,978147.9703768416,1.1745293501528082
2020-01-21,1111691.9000000001,27662.22999999991,0.0,1139354.1300000001,0.0,978147.9703768416,1.1648075388440997
2020-01-22,860203.7,452071.9099999999,155799.19,1312275.6099999999,133755.30703948552,1111903.277416327,1.1802066210734334
2020-01-23,1034124.0,244299.78999999992,0.0,1278423.79,0.0,1111903.277416327,1.1497616887780098
2020-02-03,1078911.6,105635.61999999994,113.45,1184547.22,98.67262155914847,1112001.9500378862,1.0652384377200437
2020-02-04,620482.2,644240.21,29098.59,1264722.41,27316.503957818528,1139318.4539957047,1.1100692748059078
2020-02-05,508792.5,771975.45,0.0,1280767.95,0.0,1139318.4539957047,1.124152729650097
2020-02-06,525365.1000000001,771975.45,0.0,1297340.55,0.0,1139318.4539957047,1.138698794397735
2020-02-07,732548.6,565272.0599999999,0.0,1297820.66,0.0,1139318.4539957047,1.139120195454056
2020-02-10,818945.2999999999,485763.20999999996,0.0,1304708.5099999998,0.0,1139318.4539957047,1.1451657834771793
2020-02-11,831595.2999999999,470678.20999999996,0.0,1302273.5099999998,0.0,1139318.4539957047,1.1430285408199923
2020-02-12,1052938.5,275358.63,0.0,1328297.13,0.0,1139318.4539957047,1.165869933328586
2020-02-13,1104875.4,216540.99,0.0,1321416.39,0.0,1139318.4539957047,1.159830585878478
2020-02-14,1162005.1,158581.61,0.0,1320586.71,0.0,1139318.4539957047,1.1591023610374862
2020-02-17,1282644.8,79857.99999999999,0.0,1362502.8,0.0,1139318.4539957047,1.195892856138304
2020-02-18,1350249.3,32562.869999999995,0.0,1382812.17,0.0,1139318.4539957047,1.2137187501442974
2020-02-19,1363413.6,1975.0099999999948,0.0,1365388.61,0.0,1139318.4539957047,1.198425782722508
2020-02-20,1405380.3,1975.0099999999948,0.0,1407355.31,0.0,1139318.4539957047,1.2352606991173216
2020-02-21,1431200.1,1975.0099999999948,0.0,1433175.11,0.0,1139318.4539957047,1.2579231951994725
2020-02-24,1472041.2000000002,101975.01,100000.0,1574016.2100000002,79496.10944580978,1218814.5634415145,1.2914320662164702
2020-02-25,1104528.976,445854.3600000001,0.0,1550383.3360000001,0.0,1218814.5634415145,1.272042017304297
2020-02-26,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-02-27,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-02-28,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-03-02,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-03-03,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-03-04,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-03-05,0.0,1512758.33,0.0,1512758.33,0.0,1218814.5634415145,1.2411718528604458
2020-03-06,103808.0,1407638.8,0.0,1511446.8,0.0,1218814.5634415145,1.2400957826859178
